UK-10396	U+E774	
UK-10397	U+E775	
UK-10398	U+E776	
UK-10399	U+E778	
UK-10400	U+E779	
UK-10401	U+E77A	
UK-10402	U+E77B	
UK-10403	U+E77C	
UK-10404	U+E77D	
UK-10405	U+E77E	
UK-10406	U+E77F	
UK-10407	U+E780	
UK-10408	U+E781	
UK-10409	U+E782	
UK-10410	U+E8CD	
UK-10411	U+E783	
UK-10412	U+E784	
UK-10413	U+E8F9	
UK-10414	U+E785	
UK-10415	U+E786	
UK-10416	U+E787	
UK-10417	U+E788	
UK-10418	U+E789	
UK-10419	U+E5BA	
UK-10420	U+E5BB	
UK-10421	U+E5BC	
UK-10422	U+E5BD	
UK-10423	U+E5BE	
UK-10424	U+E5BF	
UK-10425	U+E5C0	
UK-10426	U+E5C1	
UK-10427	U+E5C2	
UK-10428	U+EB81	
UK-10429	U+E9AB	
UK-10430	U+E751	
UK-10431	U+E752	
UK-10432	U+E753	
UK-10433	U+E6EA	
UK-10434	U+E6EB	
UK-10435	U+E6EC	
UK-10436	U+F10B	
UK-10437	U+F10E	
UK-10438	U+F10D	
UK-10439	U+EAFD	
UK-10440	U+F10F	
UK-10441	U+F209	
UK-10442	U+F5BD	
UK-10443	U+F5BE	
UK-10444	U+F5BC	
UK-10445	U+F5BF	
UK-10446	U+F5C0	
UK-10447	U+F5C1	
UK-10448	U+E6E7	
UK-10449	U+E6E8	
UK-10450	U+E6E9	
UK-10451	U+E58C	
UK-10452	U+E815	
UK-10453	U+E56C	
UK-10454	U+E5E3	
UK-10455	U+E6ED	
UK-10456	U+E6EE	
UK-10457	U+E6EF	
UK-10458	U+E6F0	
UK-10459	U+E6F1	
UK-10460	U+E6F2	
UK-10461	U+E6F3	
UK-10462	U+E6F4	
UK-10463	U+E6F5	
UK-10464	U+E6F6	
UK-10465	U+E6F7	
UK-10466	U+E6F8	
UK-10467	U+E6F9	
UK-10468	U+E6FA	
UK-10469	U+F3E7	
UK-10470	U+F3E8	
UK-10471	U+F3E9	
UK-10472	U+F3EA	
UK-10473	U+F3EB	
UK-10474	U+F3FA	
UK-10475	U+F3FB	
UK-10476	U+EA27	
UK-10477	U+EA28	
UK-10478	U+EA29	
UK-10479	U+EA2A	
UK-10480	U+EA2B	33-04
UK-10481	U+EA2C	24-93
UK-10482	U+EA2D	
UK-10483	U+EA2E	
UK-10484	U+E5D7	
UK-10485	U+E5D8	
UK-10486	U+E701	
UK-10487	U+E702	39-03
UK-10488	U+E703	
UK-10489	U+E704	
UK-10490	U+E705	
UK-10491	U+E706	
UK-10492	U+EA31	
UK-10493	U+EA32	
UK-10494	U+EA33	
UK-10495	U+EA34	
UK-10496	U+EA35	
UK-10497	U+EA36	
UK-10498	U+EA37	
UK-10499	U+EA38	
UK-10500	U+EA39	
UK-10501	U+EA3A	
UK-10502	U+EA3B	
UK-10503	U+EA3C	
UK-10504	U+EA3E	
UK-10505	U+EA3F	
UK-10506	U+EA41	
UK-10507	U+EA42	
UK-10508	U+EA44	
UK-10509	U+EA45	
UK-10510	U+EA46	
UK-10511	U+EA47	
UK-10512	U+EA48	
UK-10513	U+EA49	
UK-10514	U+EA4A	
UK-10515	U+EA4B	
UK-10516	U+EA4C	
UK-10517	U+EA4D	
UK-10518	U+EA4E	
UK-10519	U+EA4F	
UK-10520	U+EA50	
UK-10521	U+EA51	
UK-10522	U+EA52	
UK-10523	U+EA53	
UK-10524	U+EA54	
UK-10525	U+EA55	
UK-10526	U+EA56	
UK-10527	U+EA57	
UK-10528	U+EA59	
UK-10529	U+EA5A	
UK-10530	U+EA5B	
UK-10531	U+EA5C	
UK-10532	U+EA5D	
UK-10533	U+EA5E	
UK-10534	U+EA5F	
UK-10535	U+EA60	
UK-10536	U+EA61	
UK-10537	U+EA62	
UK-10538	U+EA63	
UK-10539	U+EB80	
UK-10540	U+E6FB	
UK-10541	U+E6FC	
UK-10542	U+E6FD	
UK-10543	U+E6B3	
UK-10544	U+E6B4	
UK-10545	U+E6B5	
UK-10546	U+E6B6	
UK-10547	U+E6B7	
UK-10548	U+E6B8	
UK-10549	U+E6B9	
UK-10550	U+E6BA	
UK-10551	U+E6BB	
