1-16-1	13-16-1
1-25-63	13-25-63
1-25-63	19-25-63
1-25-65	13-25-65
1-25-67	19-25-67
1-25-69	13-25-69
1-25-71	13-25-71
1-25-78	13-25-78
1-25-79	13-25-79
1-25-8	49-25-8
1-25-80	13-25-80
1-25-84	13-25-84
1-25-84	43-25-84
1-25-86	13-25-86
1-25-88	25-25-88
1-25-89	13-25-89
1-25-9	13-25-9
1-25-90	13-25-90
1-25-91	13-25-91
1-25-91	43-25-91
1-26-11	13-26-11
1-26-15	13-26-15
1-26-15	43-26-15
1-26-16	13-26-16
1-26-22	7-26-22
1-26-24	13-26-24
1-26-26	13-26-26
1-26-27	7-26-27
1-26-28	13-26-28
1-26-31	13-26-31
1-26-33	13-26-33
1-26-33	7-26-33
1-26-35	13-26-35
1-26-35	7-26-35
1-26-36	7-26-36
1-26-37	13-26-37
1-26-37	7-26-37
1-26-38	13-26-38
1-26-39	13-26-39
1-26-39	43-26-39
1-26-39	49-26-39
1-26-40	19-26-40
1-26-40	7-26-40
1-26-41	43-26-41
1-26-42	19-26-42
1-26-42	7-26-42
1-26-43	7-26-43
1-26-50	13-26-50
1-26-51	13-26-51
1-26-54	13-26-54
1-26-55	13-26-55
1-26-57	13-26-57
1-26-58	13-26-58
1-26-59	13-26-59
1-26-59	7-26-59
1-26-6	13-26-6
1-26-60	13-26-60
1-26-61	13-26-61
1-26-63	7-26-63
1-26-64	13-26-64
1-26-64	7-26-64
1-26-65	13-26-65
1-26-67	7-26-67
1-26-69	13-26-69
1-26-7	13-26-7
1-26-7	7-26-7
1-26-70	13-26-70
1-26-72	13-26-72
1-26-78	13-26-78
1-26-78	37-26-78
1-26-79	13-26-79
1-26-8	7-26-8
1-26-83	13-26-83
1-26-84	13-26-84
1-26-89	13-26-89
1-26-93	13-26-93
1-26-94	13-26-94
1-27-1	13-27-1
1-27-10	13-27-10
1-27-12	7-27-12
1-27-14	7-27-14
1-27-17	43-27-17
1-27-17	7-27-17
1-27-18	31-27-18
1-27-18	7-27-18
1-27-19	13-27-19
1-27-2	25-27-2
1-27-2	31-27-2
1-27-2	43-27-2
1-27-21	25-27-21
1-27-21	7-27-21
1-27-22	7-27-22
